City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sompeta,18.9333,84.6,72.0,58,100,6.2,IN,2023-02-01 01:21:13
1,fomboni,-12.28,43.7425,82.15,73,100,7.99,KM,2023-02-01 01:21:15
2,butaritari,3.0707,172.7902,80.38,78,100,17.47,KI,2023-02-01 01:21:15
3,yellowknife,62.456,-114.3525,-25.08,75,20,11.5,CA,2023-02-01 01:21:16
4,mar del plata,-38.0023,-57.5575,68.95,88,75,9.22,AR,2023-02-01 01:18:06
5,vaini,-21.2,-175.2,80.76,94,75,11.5,TO,2023-02-01 01:21:16
6,lata,40.1629,-8.3327,35.08,79,0,3.29,PT,2023-02-01 01:21:17
7,oistins,13.0667,-59.5333,73.49,78,20,6.91,BB,2023-02-01 01:16:56
8,cherskiy,68.75,161.3,-12.19,100,60,3.06,RU,2023-02-01 01:21:18
9,bredasdorp,-34.5322,20.0403,65.39,97,17,3.96,ZA,2023-02-01 01:21:18
10,saint-philippe,-21.3585,55.7679,74.79,88,100,12.24,RE,2023-02-01 01:21:19
11,punta arenas,-53.15,-70.9167,55.51,58,40,19.57,CL,2023-02-01 01:21:19
12,thompson,55.7435,-97.8558,-23.64,69,75,0.0,CA,2023-02-01 01:20:35
13,lagunas,-5.2269,-75.6753,80.22,69,99,3.8,PE,2023-02-01 01:21:19
14,praya,14.9215,-23.5087,70.34,73,40,19.57,CV,2023-02-01 01:21:20
15,tiksi,71.6872,128.8694,-1.28,99,100,10.0,RU,2023-02-01 01:16:59
16,busselton,-33.65,115.3333,66.9,50,0,15.64,AU,2023-02-01 01:21:20
17,lingao,19.9103,109.6859,66.18,83,17,5.91,CN,2023-02-01 01:21:21
18,olafsvik,64.8945,-23.7142,30.61,82,100,21.92,IS,2023-02-01 01:21:21
19,dhadar,28.3305,75.0632,53.44,57,0,7.74,IN,2023-02-01 01:21:22
20,santa helena,-2.2311,-45.3,73.54,99,100,2.57,BR,2023-02-01 01:21:22
21,kapaa,22.0752,-159.319,79.12,79,75,10.36,US,2023-02-01 01:17:07
22,palmer,42.1584,-72.3287,27.25,60,20,4.61,US,2023-02-01 01:21:23
23,chemax,20.65,-87.9333,73.13,81,6,4.43,MX,2023-02-01 01:21:23
24,kontagora,10.3999,5.4695,77.13,17,62,5.03,NG,2023-02-01 01:21:24
25,kamenka,51.3223,42.7678,29.19,97,100,8.59,RU,2023-02-01 01:21:24
26,rikitea,-23.1203,-134.9692,79.25,73,1,14.05,PF,2023-02-01 01:17:02
27,salalah,17.0151,54.0924,66.78,77,85,4.12,OM,2023-02-01 01:21:25
28,kahului,20.8947,-156.47,80.62,65,20,6.91,US,2023-02-01 01:21:25
29,port elizabeth,-33.918,25.5701,67.32,94,20,3.44,ZA,2023-02-01 01:21:26
30,chokurdakh,70.6333,147.9167,0.5,98,100,5.73,RU,2023-02-01 01:21:26
31,hay river,60.8156,-115.7999,-9.42,77,75,8.05,CA,2023-02-01 01:21:26
32,surt,31.2089,16.5887,57.67,63,33,22.7,LY,2023-02-01 01:21:27
33,east london,-33.0153,27.9116,71.1,88,4,6.53,ZA,2023-02-01 01:21:27
34,bandarbeyla,9.4942,50.8122,74.41,70,3,13.62,SO,2023-02-01 01:21:28
35,hobart,-42.8794,147.3294,58.05,79,100,19.57,AU,2023-02-01 01:17:21
36,jamestown,42.097,-79.2353,17.71,81,100,3.44,US,2023-02-01 01:21:28
37,saint-francois,46.4154,3.9054,38.64,93,100,3.44,FR,2023-02-01 01:21:28
38,uruguaiana,-29.7547,-57.0883,84.13,51,0,5.75,BR,2023-02-01 01:21:29
39,ushuaia,-54.8,-68.3,56.86,51,75,11.5,AR,2023-02-01 01:21:29
40,riwaka,-41.0833,173.0,68.0,98,100,2.46,NZ,2023-02-01 01:21:30
41,cape town,-33.9258,18.4232,72.37,80,0,14.0,ZA,2023-02-01 01:21:30
42,atuona,-9.8,-139.0333,79.0,75,100,22.75,PF,2023-02-01 01:21:30
43,camana,-16.6228,-72.7111,74.1,89,100,4.72,PE,2023-02-01 01:21:31
44,albany,42.6001,-73.9662,22.46,60,89,5.26,US,2023-02-01 01:21:31
45,dikson,73.5069,80.5464,-11.24,93,25,9.26,RU,2023-02-01 01:21:32
46,erbaa,40.6689,36.5675,37.67,96,100,2.71,TR,2023-02-01 01:21:32
47,hermanus,-34.4187,19.2345,61.81,93,4,3.49,ZA,2023-02-01 01:21:33
48,alizai,33.5383,70.3462,43.7,46,14,3.8,PK,2023-02-01 01:21:33
49,santa marta,11.2408,-74.199,80.65,67,20,21.0,CO,2023-02-01 01:21:33
50,rio gallegos,-51.6226,-69.2181,57.25,51,0,9.22,AR,2023-02-01 01:21:34
51,mataura,-46.1927,168.8643,70.27,75,100,2.24,NZ,2023-02-01 01:21:34
52,hithadhoo,-0.6,73.0833,80.85,74,25,12.08,MV,2023-02-01 01:21:34
53,constitucion,-35.3333,-72.4167,55.36,82,0,11.97,CL,2023-02-01 01:21:35
54,norman wells,65.282,-126.8329,-20.16,76,20,8.05,CA,2023-02-01 01:21:36
55,fortuna,40.5982,-124.1573,50.94,73,0,9.22,US,2023-02-01 01:21:36
56,zyryanka,65.75,150.85,-14.66,96,100,5.84,RU,2023-02-01 01:21:36
57,buala,-8.145,159.5921,82.96,75,97,10.02,SB,2023-02-01 01:21:37
58,valparaiso,-33.0393,-71.6273,60.44,88,0,4.61,CL,2023-02-01 01:21:20
59,sioux lookout,50.1001,-91.917,-14.73,84,40,0.0,CA,2023-02-01 01:21:37
60,marsa matruh,31.3525,27.2453,52.0,66,0,17.27,EG,2023-02-01 01:21:38
