City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,eganville,45.5334,-77.0994,0.73,95,13,4.65,CA,2023-02-01 00:48:16
1,chuy,-33.6971,-53.4616,71.06,90,6,6.96,UY,2023-02-01 00:48:16
2,poum,-20.2333,164.0167,79.72,64,93,4.85,NC,2023-02-01 00:48:17
3,punta arenas,-53.15,-70.9167,55.51,58,40,21.85,CL,2023-02-01 00:48:18
4,albany,42.6001,-73.9662,23.23,60,89,1.99,US,2023-02-01 00:43:52
5,avarua,-21.2078,-159.775,80.65,74,20,13.8,CK,2023-02-01 00:48:18
6,gaomi,36.3833,119.7528,34.66,42,54,18.16,CN,2023-02-01 00:48:18
7,cape town,-33.9258,18.4232,72.37,79,20,13.0,ZA,2023-02-01 00:45:40
8,hobart,-42.8794,147.3294,58.05,78,100,13.8,AU,2023-02-01 00:48:08
9,hermanus,-34.4187,19.2345,60.8,93,4,3.49,ZA,2023-02-01 00:48:19
10,hithadhoo,-0.6,73.0833,80.85,74,25,12.08,MV,2023-02-01 00:48:20
11,luwuk,-0.9516,122.7875,79.45,86,98,3.0,ID,2023-02-01 00:48:20
12,nago,26.5881,127.9761,64.83,62,6,9.35,JP,2023-02-01 00:48:21
13,ryotsu,38.0833,138.4333,45.84,69,100,25.77,JP,2023-02-01 00:48:21
14,grindavik,63.8424,-22.4338,25.27,86,0,4.61,IS,2023-02-01 00:48:22
15,lakota,5.8528,-5.6883,72.99,90,91,2.19,CI,2023-02-01 00:48:22
16,inhambane,-23.865,35.3833,77.88,66,76,10.69,MZ,2023-02-01 00:48:22
17,sitka,57.0531,-135.33,40.89,70,100,14.97,US,2023-02-01 00:48:23
18,kuching,1.55,110.3333,80.26,89,40,3.44,MY,2023-02-01 00:48:24
19,lebu,-37.6167,-73.65,57.2,83,0,20.69,CL,2023-02-01 00:48:22
20,lagoa,39.05,-27.9833,56.89,69,97,11.9,PT,2023-02-01 00:48:24
21,jamestown,42.097,-79.2353,18.55,77,100,5.75,US,2023-02-01 00:48:24
